"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BLMH",2330.54225824227,0.0760247983803832,0.0966295083112588,0.786765861785154,0.431418941112378,0.999726715796515
"NewGene_15345",1.57201114929646,-1.20917053125407,2.0213332795624,-0.598204434409672,0.549703532950594,NA
"NewGene_15343",817.496064223481,0.0222510731016563,0.0911762730657523,0.24404455625873,0.8071963120334,0.999726715796515
"XXYLT1",1965.3267529267,-0.115158943332218,0.0826140837529316,-1.39393839525735,0.163336208567435,0.999726715796515
"NewGene_10648",23.4034041450457,0.164188978452712,0.40169588872155,0.408739504343111,0.682730839657841,0.999726715796515
"NewGene_10649",8.01901741119654,-0.086538901619225,0.661725977170326,-0.130777549325301,0.895951283489017,0.999726715796515
"ACAD9",1132.17467125566,-0.0467848544115555,0.0890764585555343,-0.525221311783378,0.599429351331846,0.999726715796515
"ACAD8",1020.36979772241,-0.124720300315193,0.083022124882519,-1.50225377261397,0.133031582324516,0.961843897416582
"NewGene_10642",2.97466504677516,0.301140059732354,1.26714603222595,0.237652213773144,0.812150849708117,NA
"NewGene_10643",1.63973170663735,-1.17069270194499,1.96330136330198,-0.59628782612164,0.550982962336268,NA
"NewGene_10640",50.3040497922581,0.160058761259222,0.303799169830965,0.526857138379539,0.598292800405009,0.999726715796515
"NewGene_10641",1387.56647089212,-0.0817851474550234,0.187965834511221,-0.435106452551307,0.663485160021253,0.999726715796515
"NewGene_10644",28.3208892902028,-0.211790501272345,0.372710543309303,-0.568243922996793,0.569869350596691,0.999726715796515
"NewGene_11115",43.5200738402682,-0.00409900610000095,0.267895510649722,-0.0153007644288615,0.987792232629226,0.999726715796515
"NewGene_11114",3.76650936482655,1.49931550203882,1.320493760853,1.13542036054022,0.256199232758997,NA
"ACADM",1886.91568420312,-0.0156611222347878,0.115241059724307,-0.13589880440404,0.891901280655082,0.999726715796515
"NewGene_11116",32.9805989960755,-0.0176235673885049,0.294419854131962,-0.0598586241422627,0.952268233922857,0.999726715796515
"NewGene_11111",2.0579443279239,1.75591266297076,1.73627235296431,1.01131176797979,0.311867235445778,NA
"NewGene_11110",1.93039096634525,0.161884320608424,1.98109071437009,0.081714744021652,0.934873553537244,NA
"NewGene_11113",0.795689955054817,-0.0158944660968357,3.03005998707942,-0.00524559453100327,0.995814640305732,NA
"NewGene_11119",13.9602562267972,0.278134779658537,0.49165989408522,0.565705649381944,0.571593894189962,0.999726715796515
"NewGene_105",3.74605779269322,-0.926378107602544,1.02174046380523,-0.906666751899472,0.364583050592432,NA
"ACADS",130.002014495709,-0.220264451848075,0.179354081002805,-1.22809835503342,0.219410048473828,0.999726715796515
"KCNH3",84.8752650304448,-0.274873750479631,0.308694641652011,-0.890439007974406,0.373230204686615,0.999726715796515
"ERMP1",1126.4719650292,-0.226823312877447,0.100620978621456,-2.25423481251135,0.0241813998170766,0.477389104110007
"NewGene_6186",1.6751635572481,-0.815421714520128,1.22800573756445,-0.664021094996986,0.506676809737863,NA
"IFNA21",6.2101346125725,-0.455429309866354,0.827303641412865,-0.550498374561212,0.581977591448718,0.999726715796515
"NewGene_16699",1.36420029934678,0.849962786303248,1.69099843179374,0.502639606472989,0.615217677749398,NA
"HLCS",1411.21823977345,0.024644780901641,0.083854896660313,0.2938979342074,0.768835896699318,0.999726715796515
"NewGene_16697",0.849847891718572,-0.429621622661383,3.04683259113945,-0.14100598238012,0.887865216309538,NA
"NewGene_16695",1.23184352380264,-0.00622541843424973,3.05820390474851,-0.0020356453095176,0.998375791158012,NA
"NewGene_16694",6.08563744825037,-0.747164801038403,0.755659011268088,-0.988759202096418,0.322780969584366,NA
"NewGene_16693",1.93795700851769,0.148945514503118,1.25137876163916,0.119025125780476,0.905255449784136,NA
"NewGene_16692",4.9800018263763,-0.570001177851289,0.710912996929726,-0.80178753281062,0.422675871568846,NA
"NewGene_16691",8.53796897313018,0.0557604531932426,0.549108519123907,0.101547237479046,0.91911606124158,0.999726715796515
"NewGene_16690",77.7768709360177,-0.199482698953732,0.232060391454745,-0.859615454852984,0.390001052872054,0.999726715796515
"NewGene_8779",2.04329987264715,0.0383304270860805,1.23083646382427,0.0311417708303717,0.97515647750558,NA
"NewGene_8774",10.6713430510262,0.756711234093726,0.630447745384472,1.2002758985715,0.230032206870202,0.999726715796515
"NewGene_8775",20.1140659988057,0.229442363214773,0.503298696574851,0.45587712580267,0.648478339128015,0.999726715796515
"NewGene_8772",2.68042931216359,0.103451258874558,2.1568130071186,0.0479648715642547,0.961744238798433,NA
"NewGene_8773",30.2459743785448,0.161798694727593,0.330206046728286,0.489993131048661,0.624138759482873,0.999726715796515
"NewGene_8770",505.622772013154,-0.0328159999663451,0.14587812289409,-0.22495490972399,0.822014352040851,0.999726715796515
"NewGene_16860",32.1582113416585,0.0551915747540147,0.288979974768771,0.190987540912399,0.848535354398806,0.999726715796515
"H1-0",9381.53756216242,-0.026768488769976,0.192204829441053,-0.139270635643344,0.889236293077616,0.999726715796515
"KRT4",2.7476536834938,0.692164388126277,1.85781679575076,0.372568699835963,0.709469472117968,NA
"NPPC",40.1858500850425,0.563644693779583,0.303264958094469,1.85858826987853,0.0630855210440482,0.754399049454151
"NPPB",97.057682722088,-0.0542438808746302,0.30602026102728,-0.177255848003458,0.859307429750543,0.999726715796515
"NPPA",56.4221155949364,-0.0304745226715688,0.262490969001521,-0.116097413893855,0.907575338369423,0.999726715796515
"GLUL",9055.85649116453,-0.262308762397105,0.138955426071705,-1.88771874415142,0.0590637186257129,0.736662655982568
