"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BLMH",2351.62442348695,0.0905168732909165,0.123065822356903,0.735515934134893,0.462025339397697,0.999995203992349
"NewGene_15345",1.90716218150335,-1.45295838176782,1.85859404902829,-0.781751336461805,0.434360725213609,NA
"NewGene_15343",919.84083863821,0.0114306139162519,0.113800957933231,0.100443916499881,0.919991905708832,0.999995203992349
"XXYLT1",1898.06838679095,-0.148907574671075,0.103088439782893,-1.44446433552277,0.14860840490979,0.999995203992349
"NewGene_10648",27.5367074400062,0.204969754307762,0.443355302075722,0.462314882326038,0.643855528748174,0.999995203992349
"NewGene_10649",9.7608020794105,-0.0963435760080969,0.652647745615726,-0.14761956454351,0.882643013993546,0.999995203992349
"ACAD9",1076.60415846873,-0.0369357109397831,0.11488074100537,-0.321513515812512,0.747821271399002,0.999995203992349
"ACAD8",1059.38581694285,-0.0883536873909189,0.0996192308372134,-0.886913968802836,0.375125220411693,0.999995203992349
"NewGene_10642",3.31073699676492,1.02015508607988,1.3217108977471,0.771844347972594,0.440206621922079,NA
"NewGene_10640",55.485941226036,0.212944228771257,0.350951387215491,0.606762749852035,0.544008372100709,0.999995203992349
"NewGene_10641",1319.33510857848,-0.0365872301568397,0.223129041145474,-0.163973411838336,0.869752074760349,0.999995203992349
"NewGene_10644",23.6628141015777,-0.169747467160847,0.471961563811175,-0.359663752679574,0.719098601657228,0.999995203992349
"NewGene_11115",46.3493510855417,-0.0224152664518523,0.322080472215104,-0.0695952359287465,0.944515828926169,0.999995203992349
"NewGene_11114",4.58748886248166,1.69798622371651,1.26706911890641,1.34008965918294,0.180216197573041,NA
"ACADM",1870.16346375864,-0.0258968843120762,0.14346686098072,-0.180507778138091,0.856753948621252,0.999995203992349
"NewGene_11116",33.8737549041012,0.0119083843006045,0.359398020603647,0.033134251214303,0.97356752921817,0.999995203992349
"NewGene_11111",1.40751996518508,1.97742342384311,2.86713369825292,0.689686506439533,0.490391353268526,NA
"NewGene_11110",1.60377191711017,0.355076647911929,2.98989948575483,0.118758724031917,0.905466510638635,NA
"NewGene_11113",0.972797432505581,-0.0938485963147223,3.03809768597311,-0.0308905789132525,0.975356803277336,NA
"NewGene_11119",13.2380491803855,0.00869820594870602,0.544587192837191,0.0159721088984669,0.987256642731377,0.999995203992349
"NewGene_105",3.2463638097405,-1.55522274424621,1.28124004560448,-1.21384181643532,0.224808134649134,NA
"ACADS",113.417943445983,-0.163092316198213,0.22409140132249,-0.727793727183251,0.466739864992683,0.999995203992349
"KCNH3",97.8755313528692,-0.286747170058493,0.352352204814744,-0.813808360328712,0.415754744926775,0.999995203992349
"ERMP1",1037.52735737612,-0.237246371541064,0.128232592684692,-1.85012535872547,0.0642954837646157,0.988874356404182
"NewGene_6186",1.8216664398099,-1.06797203979255,1.47149649959977,-0.725772735499556,0.467978103681775,NA
"IFNA21",7.55027682823608,-0.473446374446096,0.796871567047777,-0.594131343147434,0.552424268757673,NA
"HLCS",1402.14139440164,-0.0123447864130824,0.0993685710538519,-0.124232302851495,0.901131346369389,0.999995203992349
